title,brand,category,subcategory,price,volume,alc,country,url
Guinness Draught,Guinness,Ale,Stout & Porter,3.4,500,4.2,Ireland,https://www.lcbo.com/en/guinness-draught-270447
Highlander Blacksmith Smoked Porter,Highlander Brewing,Ale,Stout & Porter,3.4,473,NULL,Canada,https://www.lcbo.com/en/highlander-blacksmith-smoked-porter-523399
Stack Brewing Sour IPA,Stack Brewing,Ale,India Pale Ale (IPA),3.45,473,6.5,Canada,https://www.lcbo.com/en/stack-brewing-sour-ipa-10814
Kingston Brewing Company, Double Dry Hopped IPA,Kingston Brewing,Ale,India Pale Ale (IPA),4.0,473,6.5,Canada,https://www.lcbo.com/en/kingston-brewing-company-double-dry-hopped-ipa-13819
Sleeping Giant Brewing Quittin Time,Sleeping Giant,Ale,Pale Ale,2.75,355,4.5,Canada,https://www.lcbo.com/en/sleeping-giant-brewinig-quittin-time-26949
Crest Super Lager,Crest,Lager,Pale Lager,3.85,500,10.0,United Kingdom,https://www.lcbo.com/en/crest-super-lager-456202
Rorschach Brewing Truth Serum,Rorschach Brewing Inc.,Ale,India Pale Ale (IPA),3.5,355,6.5,Canada,https://www.lcbo.com/en/rorschach-brewing-truth-serum-14595
Old Style Pilsner,Old Style,Lager,Pale Lager,2.3,473,5.0,Canada,https://www.lcbo.com/en/old-style-pilsner-478412
Brimstone Brewing Sinister Minister IPA,Brimstone Brewing,Ale,India Pale Ale (IPA),3.6,473,7.0,Canada,https://www.lcbo.com/en/brimstone-brewing-sinister-minister-ipa-521112
Imperial City Brew House Goodbye Gravity Cream Ale,Imperial City Brewhouse,Ale,Lagered Ale,3.6,473,5.0,Canada,https://www.lcbo.com/en/imperial-city-brew-house-goodbye-gravity-cream-ale-21517
Coors Original,Coors,Lager,Pale Lager,3.0,473,5.0,Canada,https://www.lcbo.com/en/coors-original-14136
Town Brewery Mad Nice IPA,Town Brewery,Ale,India Pale Ale (IPA),4.25,473,6.3,Canada,https://www.lcbo.com/en/town-brewery-mad-nice-ipa-26090
Growers Honeycrisp Apple,Growers,Cider,Flavoured Cider,3.55,473,5.0,Canada,https://www.lcbo.com/en/growers-honeycrisp-apple-374546
Amsterdam 3 Speed Lager,Amsterdam,Lager,Pale Lager,3.35,568,4.2,Canada,https://www.lcbo.com/en/amsterdam-3-speed-lager-575357
Niagara Cider Peach Chardonnay,Niagara Cider,Cider,Flavoured Cider,4.25,473,6.0,Canada,https://www.lcbo.com/en/niagara-cider-peach-chardonnay-21208
Collective Arts Daily Forecast,Collective Arts,Ale,Flavoured & Spiced Beer,3.95,473,4.5,Canada,https://www.lcbo.com/en/collective-arts-daily-forecast-25099
Lost Craft Duality Peach Sour,Lost Craft,Ale,Sour Ale,3.95,473,4.5,Canada,https://www.lcbo.com/en/lost-craft-duality-peach-sour-25044
Laker Red,Laker,Lager,Pale Lager,2.0,473,5.5,Canada,https://www.lcbo.com/en/laker-red-382291
Steam Whistle Koozie Gift Pack,Steam Whistle,Gifts and Samplers,Gift Packs,29.95,2838,5.0,Canada,https://www.lcbo.com/en/steam-whistle-koozie-gift-pack-22233
Brock Street Brewing Munich Lager,Brock Street,Lager,Amber Lager,3.3,473,6.0,Canada,https://www.lcbo.com/en/brock-street-brewing-munich-lager-17287
Muskoka Brewery Ebb & Flow Five Alive,Muskoka Brewery,Ale,Sour Ale,3.75,473,5.0,Canada,https://www.lcbo.com/en/muskoka-brewery-ebb-flow-five-alive-25050
Steam Whistle Premium Pilsner,Steam Whistle,Lager,Pale Lager,19.25,2838,5.0,Canada,https://www.lcbo.com/en/steam-whistle-premium-pilsner-492017
Old Flame Hazy Blonde Kellerbier,Old Flame,Lager,Pale Lager,3.25,473,5.0,Canada,https://www.lcbo.com/en/old-flame-hazy-blonde-kellerbier-10563
Budweiser Zero,Budweiser,Non-Alcoholic & Specialty,Non-Alcoholic Beer,2.5,473,0.1,Canada,https://www.lcbo.com/en/budweiser-zero-16976
La Trappe Tripel,La Trappe,Ale,Belgian Ale,8.65,750,8.0,Netherlands,https://www.lcbo.com/en/la-trappe-tripel-413575
Fixed Gear Brewing Breakaway IPA,Fixed Gear Brewing,Ale,India Pale Ale (IPA),3.65,473,5.5,Canada,https://www.lcbo.com/en/fixed-gear-brewing-breakaway-ipa-18314
Corona Extra + vintage cooler,Corona,Lager,Pale Lager,55.95,3960,4.6,Canada,https://www.lcbo.com/en/corona-extra-vintage-cooler-24146
Beyond the Pale The Daily Pilsner,Beyond the Pale,Lager,Pale Lager,3.45,473,NULL,NULL,https://www.lcbo.com/en/beyond-the-pale-the-daily-pilsner-27008
Bavaria Premium,Bavaria,Lager,Pale Lager,13.9,3000,5.0,Netherlands,https://www.lcbo.com/en/bavaria-premium-666867
Molson Canadian,Molson,Lager,Pale Lager,48.95,9548,5.0,Canada,https://www.lcbo.com/en/molson-canadian-692277
Zywiec Beer,Zywiec,Lager,Pale Lager,2.55,500,5.5,Poland,https://www.lcbo.com/en/zywiec-beer-615211
The Tragically Hip Lake Fever Lager,The Tragically Hip,Lager,Pale Lager,3.3,473,NULL,Canada,https://www.lcbo.com/en/the-tragically-hip-lake-fever-lager-22990
Busch Ice,Busch,Lager,Pale Lager,2.0,473,5.5,Canada,https://www.lcbo.com/en/busch-ice-15250
Flying Canoe Hard Cider,Flying Canoe,Cider,Traditional Cider,4.05,473,5.0,Canada,https://www.lcbo.com/en/flying-canoe-hard-cider-499020
Sleeman Clear 2.0,Sleeman,Lager,Pale Lager,17.25,2838,4.0,Canada,https://www.lcbo.com/en/sleeman-clear-2-0-486142
Reinhart's Strawberry Hibiscus Cider,Reinhart,Cider,Flavoured Cider,3.55,473,5.0,Canada,https://www.lcbo.com/en/reinhart-s-strawberry-hibiscus-cider-15162
Michelob Ultra,Michelob,Lager,Pale Lager,14.95,2130,4.0,Canada,https://www.lcbo.com/en/michelob-ultra-697623
Magnotta Brewery Gruppetto Light Lager,Magnotta,Lager,Pale Lager,3.05,473,3.8,Canada,https://www.lcbo.com/en/magnotta-brewery-backyard-light-lager-12457
Brock Street Blonde,Brock Street,Ale,Pale Ale,3.15,473,4.5,Canada,https://www.lcbo.com/en/brock-street-blonde-468181
Budweiser Shot,Budweiser,Lager,Pale Lager,5.0,944,6.0,Canada,https://www.lcbo.com/en/budweiser-shot-16837
Orillia Brewing Co Sunshine City Blonde,Orillia Brewing,Ale,Pale Ale,3.25,473,4.8,Canada,https://www.lcbo.com/en/orillia-brewing-co-sunshine-city-blonde-23262
Tempt No. 9 Strawberry & Lime Cider,Tempt,Cider,Flavoured Cider,2.75,500,4.5,Denmark,https://www.lcbo.com/en/tempt-no-9-strawberry-lime-cider-19978
Old Milwaukee Ice,Old Milwaukee,Lager,Pale Lager,3.4,710,5.5,Canada,https://www.lcbo.com/en/old-milwaukee-ice-585323
Lost Craft Dry Rose,Lost Craft,Cider,Flavoured Cider,3.5,473,6.0,Canada,https://www.lcbo.com/en/lost-craft-dry-rose-20111
MacKinnon Brothers Harvest Ale,MacKinnon Brewing,Ale,Pale Ale,3.35,473,5.0,Canada,https://www.lcbo.com/en/mackinnon-brothers-harvest-ale-15798
Budweiser,Budweiser,Lager,Pale Lager,4.25,740,NULL,Canada,https://www.lcbo.com/en/budweiser-450023
Stonewall Light,Stonewall,Lager,Pale Lager,7.0,1420,4.0,Canada,https://www.lcbo.com/en/stonewall-light-24829
Maclean's Ales Maple Coffee Mild,Maclean's,Ale,Pale Ale,3.3,473,3.5,Canada,https://www.lcbo.com/en/maclean-s-ales-maple-coffee-mild-25003
Labatt BLue,Labatt,Lager,Pale Lager,11.95,2838,5.0,Canada,https://www.lcbo.com/en/labatt-blue-15258
Stowford Press Cider,Stowford Press Cider,Cider,Traditional Cider,3.1,500,4.5,United Kingdom,https://www.lcbo.com/en/stowford-press-cider-25029
JuiceBox Raspberry Lemonade,Juicebox,Ale,Flavoured & Spiced Beer,2.95,473,5.0,Canada,https://www.lcbo.com/en/juicebox-raspberry-lemonade-21417
Cowbell Brewing Co. Grapefruit Radler,Cowbell Brewing,Non-Alcoholic & Specialty,Radler & Shandy,3.25,473,2.5,Canada,https://www.lcbo.com/en/cowbell-brewing-co-grapefruit-radler-25060
Tawse Cider,Tawse,Cider,Traditional Cider,3.25,473,5.0,Canada,https://www.lcbo.com/en/tawse-cider-569350
Sawdust City Patio Nights Sangria Pale Ale,Sawdust City Brewery,Ale,Flavoured & Spiced Beer,4.1,473,5.2,Canada,https://www.lcbo.com/en/sawdust-city-patio-nights-sangria-pale-ale-26987
Triple Bogey Lager,Triple Bogey,Lager,Pale Lager,2.9,473,4.9,Canada,https://www.lcbo.com/en/triple-bogey-lager-393462
Great Lakes Brewery Miami Weiss,Great Lakes Brewery,Ale,Wheat Ale,3.0,473,4.5,Canada,https://www.lcbo.com/en/great-lakes-brewery-miami-weiss-26555
Cameron's Cruising through the Galaxy NEIPA,Cameron's,Ale,India Pale Ale (IPA),3.55,473,6.3,Canada,https://www.lcbo.com/en/cameron-s-cruising-through-the-galaxy-neipa-17396
Highlander Brew Co Scottish Ale,Highlander Brewing,Ale,Dark Ale,3.4,473,5.4,Canada,https://www.lcbo.com/en/highlander-brew-co-scottish-ale-523381
Stella Artois,Stella Artois,Lager,Pale Lager,3.4,473,5.0,Canada,https://www.lcbo.com/en/stella-artois-17820
Exchange Pamplemousse Is On The Loose Hazy Ipa,Exchange Brewery,Ale,India Pale Ale (IPA),4.25,473,6.0,Canada,https://www.lcbo.com/en/exchange-pamplemousse-is-on-the-loose-hazy-ipa-26626
Creemore Springs Helles Light Lager,Creemore Springs,Lager,Pale Lager,14.95,2130,3.7,Canada,https://www.lcbo.com/en/creemore-springs-helles-light-lager-19584
Rickard's Red,Rickard'S Red,Ale,Dark Ale,27.95,4092,5.2,Canada,https://www.lcbo.com/en/rickard-s-red-927236
O'hara's Irish Nitro Stout,O'Hara's,Ale,Stout & Porter,3.2,440,4.3,Ireland,https://www.lcbo.com/en/o-hara-s-irish-nitro-stout-20013
Mill Street Cobblestone Stout,Mill Street,Ale,Stout & Porter,3.4,440,4.2,Canada,https://www.lcbo.com/en/mill-street-cobblestone-stout-312850
Waupoos Premium Cider,Waupoos,Cider,Traditional Cider,13.7,1364,6.5,Canada,https://www.lcbo.com/en/waupoos-premium-cider-612804
Collectiver Arts Jam up the Pineapple & Tangerine,Collective Arts,Ale,Sour Ale,4.55,473,5.2,Canada,https://www.lcbo.com/en/collectiver-arts-jam-up-the-pineapple-tangerine-25689
Indie Ale House Marco Polo Italian Style Pilsner,Indie Ale House,Lager,Pale Lager,3.4,473,5.0,Canada,https://www.lcbo.com/en/indie-ale-house-marco-polo-italian-style-pilsner-26073
Unibroue Blanche de Chambly Bleuet,Unibroue,Ale,Flavoured & Spiced Beer,2.95,473,5.5,Canada,https://www.lcbo.com/en/unibroue-blanche-de-chambly-bleuet-25398
Labatt Blue,Labatt,Lager,Pale Lager,23.95,5676,5.0,Canada,https://www.lcbo.com/en/labatt-blue-228486
Amsterdam Brewing Company YYZ Summer Flight Pack,Amsterdam Brewing,Gifts and Samplers,Taster Packs,12.95,1892,5.5,Canada,https://www.lcbo.com/en/amsterdam-brewing-company-yyz-summer-flight-pack-24668
Flying Dog Gonzo Imperial Porter,Flying Dog Brewery,Ale,Stout & Porter,5.0,355,10.0,United States,https://www.lcbo.com/en/flying-dog-gonzo-imperial-porter-16693
Bicycle Craft Brewery Frequency APA,Bicycle Craft Brewery,Ale,Pale Ale,4.15,473,5.4,Canada,https://www.lcbo.com/en/bicycle-craft-brewery-frequency-apa-569848
Hop Valley Bubble Stash,Creemore Springs,Ale,India Pale Ale (IPA),3.4,473,6.2,Canada,https://www.lcbo.com/en/hop-valley-bubble-stash-22089
Ace Hill Pilsner,Ace Hill,Lager,Pale Lager,3.35,473,4.9,Canada,https://www.lcbo.com/en/ace-hill-pilsner-461822
Duchesse De Bourgogne,Duchesse,Ale,Sour Ale,3.9,330,6.2,Belgium,https://www.lcbo.com/en/duchesse-de-bourgogne-492769
Thornbury Craft Cranberry Cider,Thornbury,Cider,Flavoured Cider,3.75,473,5.3,Canada,https://www.lcbo.com/en/thornbury-craft-cranberry-cider-571786
Coors Light,Coors,Lager,Pale Lager,54.95,10650,4.0,Canada,https://www.lcbo.com/en/coors-light-15501
Coors Light,Coors,Lager,Pale Lager,13.95,2130,4.0,Canada,https://www.lcbo.com/en/coors-light-906628
Flying Monkeys Sparklepuff Triple IPA,Flying Monkeys,Ale,India Pale Ale (IPA),4.95,473,10.2,Canada,https://www.lcbo.com/en/flying-monkeys-sparklepuff-triple-ipa-688507
Clear Lake Brewing Session Ale,Clear Lake Brewing,Ale,India Pale Ale (IPA),3.35,473,4.8,Canada,https://www.lcbo.com/en/clear-lake-brewing-session-ale-573832
Belgian Moon Mango Wheat,Belgian Moon,Ale,Flavoured & Spiced Beer,3.1,473,5.4,Canada,https://www.lcbo.com/en/belgian-moon-mango-wheat-697268
Molson Canadian,Molson,Lager,Pale Lager,55.95,10650,5.0,Canada,https://www.lcbo.com/en/molson-canadian-15500
4est Brewery 4est Lager,4est Brewery,Lager,Pale Lager,3.25,473,5.0,Canada,https://www.lcbo.com/en/4est-brewery-4est-lager-26993
Coors Original,Coors,Lager,Pale Lager,30.95,5676,5.0,Canada,https://www.lcbo.com/en/coors-original-14095
Jever Pilsener,Jever,Lager,Pale Lager,2.45,500,5.0,Germany,https://www.lcbo.com/en/jever-pilsener-378976
Thornbury Village Honeycrisp Apple Cider,Thornbury,Cider,Traditional Cider,3.5,473,5.6,Canada,https://www.lcbo.com/en/thornbury-village-honeycrisp-apple-cider-15176
Labatt Blue,Labatt,Lager,Pale Lager,28.5,5115,5.0,Canada,https://www.lcbo.com/en/labatt-blue-218131
Molson Ultra,Molson,Lager,Pale Lager,43.95,8184,3.0,Canada,https://www.lcbo.com/en/molson-ultra-14069
Innis & Gunn Original,Innis & Gunn,Ale,Dark Ale,19.05,3000,6.6,United Kingdom,https://www.lcbo.com/en/innis-gunn-original-15041
Sleeping Giant 360 Pale Ale,Sleeping Giant,Ale,Pale Ale,3.1,473,NULL,Canada,https://www.lcbo.com/en/sleeping-giant-360-pale-ale-420414
Brew Microbrewery Maple Beer,Brew Microbrewery,Ale,Flavoured & Spiced Beer,3.95,473,5.0,Canada,https://www.lcbo.com/en/brew-microbrewery-maple-beer-10961
London Brewing Organic Hazy IPA,London Brewing,Ale,India Pale Ale (IPA),3.95,473,6.5,Canada,https://www.lcbo.com/en/london-brewing-organic-hazy-ipa-24625
Nickel Brook Zap! Pink Lemonade Sour IPA,Nickel Brook,Ale,Sour Ale,3.65,473,5.6,Canada,https://www.lcbo.com/en/nickel-brook-zap-pink-lemonade-sour-ipa-21689
Collingwood Brewery Freestyle Skadi IPA,Collingwood Brewery,Ale,India Pale Ale (IPA),4.25,473,7.2,Canada,https://www.lcbo.com/en/collingwood-brewery-freestyle-skadi-ipa-23551
Mill Street Juice Cloud IPA,Mill Street,Ale,India Pale Ale (IPA),3.55,473,6.6,Canada,https://www.lcbo.com/en/mill-street-juice-cloud-ipa-20871
Busch Light,Busch,Lager,Pale Lager,11.95,2838,4.0,Canada,https://www.lcbo.com/en/busch-light-15253
Whiskeyjack Cold Front,Whiskeyjack Beer Company,Ale,Lagered Ale,3.35,473,5.0,Canada,https://www.lcbo.com/en/whiskeyjack-cold-front-11159
No 99 Wayne Gretzky Craft Brewing Blonde Ale,Wayne Gretzky,Ale,Pale Ale,3.25,473,5.0,Canada,https://www.lcbo.com/en/no-99-wayne-gretzky-craft-brewing-blonde-ale-27066
Nickel Brook Jam Stand Raspberry with Vanilla & Hibiscus,Nickel Brook Brewery,Ale,Sour Ale,3.95,473,4.0,Canada,https://www.lcbo.com/en/nickel-brook-jam-stand-raspberry-with-vanilla-hibiscus-27494
Heineken,Heineken,Lager,Pale Lager,29.5,3960,5.0,Netherlands,https://www.lcbo.com/en/heineken-531392
Sleeman Clear 2.0,Sleeman,Lager,Pale Lager,44.95,8520,4.0,Canada,https://www.lcbo.com/en/sleeman-clear-2-0-342352
Fixed Gear Brewing Cherry Training Wheels Sour,Fixed Gear Brewing,Ale,Sour Ale,4.25,473,4.0,Canada,https://www.lcbo.com/en/fixed-gear-brewing-cherry-training-wheels-sour-13369
Beau's Full Time IPA,Beau's,Ale,India Pale Ale (IPA),3.65,473,6.0,Canada,https://www.lcbo.com/en/beau-s-full-time-ipa-19268
Pommies Farmhouse Cider,Pommies,Cider,Traditional Cider,3.4,473,6.0,Canada,https://www.lcbo.com/en/pommies-farmhouse-cider-418582
Coffin Ridge Forbidden Artisanal Cider,Coffin Ridge,Cider,Traditional Cider,3.75,473,6.5,Canada,https://www.lcbo.com/en/coffin-ridge-forbidden-artisanal-cider-374496
Left Field Brewery Scout Micro IPA,Left Field Brewery,Ale,India Pale Ale (IPA),3.3,355,3.5,Canada,https://www.lcbo.com/en/left-field-brewery-scout-micro-ipa-27079
Henderson x Rush Moving Pitchers Belgian Pale Ale,Henderson Brewing,Ale,Belgian Ale,13.95,500,11.9,Canada,https://www.lcbo.com/en/henderson-x-rush-moving-pitchers-belgian-pale-ale-25453
Bud Light,Bud Light,Lager,Pale Lager,29.95,5676,4.0,Canada,https://www.lcbo.com/en/bud-light-218107
Innis & Gunn Islay Whisky Cask Laphroaig,Innis & Gunn,Ale,Dark Ale,12.95,660,7.4,United Kingdom,https://www.lcbo.com/en/innis-gunn-islay-whisky-cask-laphroaig-25082
D'Ont Poke The Bear Berry Cider,D'Ont Poke The Bear,Cider,Flavoured Cider,3.4,473,5.5,Canada,https://www.lcbo.com/en/d-ont-poke-the-bear-berry-cider-15174
Michelob Ultra,Michelob,Lager,Pale Lager,27.5,4092,4.0,Canada,https://www.lcbo.com/en/michelob-ultra-284489
Hockley Amber,Hockley Valley Brewing,Ale,Pale Ale,2.95,473,5.0,Canada,https://www.lcbo.com/en/hockley-amber-355065
Collective Arts Good Monster,Collective Arts,Ale,India Pale Ale (IPA),4.45,473,8.0,Canada,https://www.lcbo.com/en/collective-arts-good-monster-20118
Moosehead Lager,Moosehead,Lager,Pale Lager,2.95,473,5.0,Canada,https://www.lcbo.com/en/moosehead-lager-25819
Collingwood Brewery Sunset Point Lager,Collingwood Brewery,Lager,Pale Lager,3.35,473,4.4,Canada,https://www.lcbo.com/en/collingwood-brewery-sunset-point-lager-20960
Driftwood Brewing Fat Tug IPA,Driftwood Brewing,Ale,India Pale Ale (IPA),3.85,473,7.0,Canada,https://www.lcbo.com/en/driftwood-brewing-fat-tug-ipa-638478
Brock Street Pineapple Sour,Brock Street Brewing,Ale,Sour Ale,3.5,473,5.0,Canada,https://www.lcbo.com/en/brock-street-pineapple-sour-24602
Full Beard Brewing The Bearded Prospector,Full Beard Brewing,Ale,Lagered Ale,3.35,473,4.5,Canada,https://www.lcbo.com/en/full-beard-brewing-the-bearded-prospector-18334
Steam Whistle Premium Pilsner,Steam Whistle,Lager,Pale Lager,3.4,473,5.0,Canada,https://www.lcbo.com/en/steam-whistle-premium-pilsner-492009
4 Degrees Brewing Hill 70 Belgian Blonde Ale,4 Degrees Brewing Company,Ale,Belgian Ale,3.25,473,7.0,Canada,https://www.lcbo.com/en/4-degrees-brewing-hill-70-belgian-blonde-ale-13925
Slake Brewing Hatch Pale Ale,Slake Brewing,Ale,Pale Ale,3.95,355,5.2,Canada,https://www.lcbo.com/en/slake-brewing-inc-hatch-pale-ale-26816
Miller High Life,Miller,Lager,Pale Lager,29.5,5325,4.6,Canada,https://www.lcbo.com/en/miller-high-life-574293
Hometown Brewing Co Hazy Susan IPA,Hometown Brewing,Ale,India Pale Ale (IPA),3.35,473,6.0,Canada,https://www.lcbo.com/en/hometown-brewing-co-hazy-susan-ipa-14608
Fuller's London Pride,Fuller's,Ale,Pale Ale,3.4,500,4.7,United Kingdom,https://www.lcbo.com/en/fuller-s-london-pride-470757
Lake Of Bays Switchback Pilsner,Lake of Bays Brewing,Lager,Pale Lager,3.25,473,NULL,Canada,https://www.lcbo.com/en/lake-of-bays-switchback-pilsner-499327
Faxe 10% Extra Strong,Faxe,Lager,Pale Lager,3.95,500,10.0,Denmark,https://www.lcbo.com/en/faxe-10-extra-strong-497032
Boneshaker IPA,Amsterdam,Ale,India Pale Ale (IPA),19.45,2838,7.1,Canada,https://www.lcbo.com/en/boneshaker-ipa-667790
Storyteller Lager,Storyteller,Lager,Pale Lager,2.95,473,5.0,Canada,https://www.lcbo.com/en/storyteller-lager-16903
Alexander Keith's India Pale Ale,Alexander Keith's,Ale,India Pale Ale (IPA),49.95,8520,5.0,Canada,https://www.lcbo.com/en/alexander-keith-s-india-pale-ale-222406
West Avenue Cider Gem,West Avenue,Cider,Traditional Cider,3.9,473,5.3,Canada,https://www.lcbo.com/en/west-avenue-cider-crush-23065
Coors Light,Coors,Lager,Pale Lager,14.25,2046,4.0,Canada,https://www.lcbo.com/en/coors-light-906560
Rekorderlig Wild Berries Cider,Rekorderlig,Cider,Flavoured Cider,3.35,500,4.5,Sweden,https://www.lcbo.com/en/rekorderlig-wild-berries-cider-413500
Collective Arts IPA No. 21,Collective Arts,Ale,India Pale Ale (IPA),4.75,473,5.9,Canada,https://www.lcbo.com/en/collective-arts-ipa-no-21-25909
Bench Brewing Hopsters IPA,Twenty Bench,Ale,India Pale Ale (IPA),3.85,473,6.8,Canada,https://www.lcbo.com/en/twenty-bench-brewing-hopster-ipa-25096
Miller High Life,Miller,Lager,Pale Lager,23.5,4260,4.6,United States,https://www.lcbo.com/en/miller-high-life-588921
Brock Street Brewing Light Lime Lager,Brock Street Brewery,Lager,Pale Lager,3.2,473,3.6,Canada,https://www.lcbo.com/en/brock-street-brewing-light-lime-lager-26692
Sons of Kent Juice Box IPA,Sons Of Kent,Ale,India Pale Ale (IPA),4.4,473,6.9,Canada,https://www.lcbo.com/en/sons-of-kent-juice-box-ipa-15861
Alexander Keith's India Pale Ale,Alexander Keith's,Ale,India Pale Ale (IPA),41.95,8184,5.0,Canada,https://www.lcbo.com/en/alexander-keith-s-india-pale-ale-900159
Rochefort 10,Rochefort,Ale,Belgian Ale,4.5,330,11.3,Belgium,https://www.lcbo.com/en/rochefort-10-374363
Cigar City Frost Proof Belgian-Style White,Cigar City,Ale,Wheat Ale,13.45,1420,6.0,United States,https://www.lcbo.com/en/cigar-city-frost-proof-belgian-style-white-25024
Mackinnon Brewing Crosscut Canadian Ale,MacKinnon Brewing,Ale,Pale Ale,3.35,473,5.2,Canada,https://www.lcbo.com/en/mackinnon-brewing-crosscut-canadian-ale-414870
Michelob Ultra 24x355ml,Michelob,Lager,Pale Lager,49.5,8520,4.0,Canada,https://www.lcbo.com/en/michelob-ultra-24x355ml-618116
Coors Light,Coors,Lager,Pale Lager,25.5,4092,4.0,Canada,https://www.lcbo.com/en/coors-light-906578
No 99 Wayne Gretzky Hazy IPA,Wayne Gretzky,Ale,India Pale Ale (IPA),3.25,473,6.0,Canada,https://www.lcbo.com/en/no-99-wayne-gretzky-hazy-ipa-20035
Refined Fool Brewing Party Sharks Foggy IPA,Refined Fool Brewing,Ale,India Pale Ale (IPA),4.5,473,6.5,Canada,https://www.lcbo.com/en/refined-fool-brewing-party-sharks-foggy-ipa-24559
Woodhouse Lager,Woodhouse Brewing,Lager,Amber Lager,3.25,473,5.0,Canada,https://www.lcbo.com/en/woodhouse-lager-459537
Keystone Light,Keystone,Lager,Pale Lager,13.5,2838,4.0,Canada,https://www.lcbo.com/en/keystone-light-172379
Sons of Kent Brewing Company Hi Fi Triple Berry Sour,Sons Of Kent,Ale,Sour Ale,3.55,473,4.8,Canada,https://www.lcbo.com/en/sons-of-kent-brewing-company-hi-fi-triple-berry-sour-19721
Sandwich Brewing Co White Bronco Juicy IPA,Sandwich Brewing,Ale,India Pale Ale (IPA),3.75,473,5.7,Canada,https://www.lcbo.com/en/sandwich-brewing-co-white-bronco-juicy-ipa-16794
Holman Brewing Bear Naked Lager,Holman Brewing,Lager,Pale Lager,3.25,473,5.0,Canada,https://www.lcbo.com/en/holman-brewing-bear-naked-lager-16421
County Pear Cider,County Cider,Cider,Flavoured Cider,7.0,500,6.5,Canada,https://www.lcbo.com/en/county-pear-cider-424093
Refined Fool Van Full of Weirdos, Juicy IPA,Refined Fool,Ale,India Pale Ale (IPA),3.75,473,6.2,Canada,https://www.lcbo.com/en/refined-fool-van-full-of-weirdos-juicy-ipa-20870
Small Pony Barrel Works All the Best Hats,Small Pony Barrel Works,Ale,Sour Ale,7.5,375,5.3,Canada,https://www.lcbo.com/en/small-pony-barrel-works-all-the-best-hats-24578
Rorschach Brewing Inc Reverie Double Tangerine Dreamsicle DIPA,Rorschach Brewing,Ale,India Pale Ale (IPA),4.5,355,8.5,Canada,https://www.lcbo.com/en/rorschach-brewing-inc-reverie-double-tangerine-dreamsicle-dipa-26691
Railway City Playa Cerveza,Railway City,Lager,Pale Lager,3.15,473,4.5,Canada,https://www.lcbo.com/en/railway-city-playa-cerveza-16769
Bellwoods Brewery Jelly King with Cranberry & Tangerine,Bellwoods Brewery,Ale,Sour Ale,7.5,500,NULL,Canada,https://www.lcbo.com/en/bellwoods-brewery-jelly-king-with-cranberry-tangerine-23500
Tyskie Beer,Tyskie,Lager,Pale Lager,2.55,500,5.0,Poland,https://www.lcbo.com/en/tyskie-beer-409581
Strongbow Cider + FREE carafe & glasses,Strongbow,Cider,NULL,50.0,7040,5.3,United Kingdom,https://www.lcbo.com/en/strongbow-cider-free-carafe-glasses-27890
Shawn & Ed Brewing Co. LagerShed Original,Shawn & Ed Brewing,Lager,Pale Lager,13.95,1892,5.2,Canada,https://www.lcbo.com/en/shawn-ed-brewing-co-lagershed-original-13814
Lake of Bays Stand Down IPA,Lake of Bays Brewing,Ale,India Pale Ale (IPA),3.65,473,6.9,Canada,https://www.lcbo.com/en/lake-of-bays-stand-down-ipa-20140
Side Launch Aloha Sour,Side Launch,Ale,Sour Ale,3.95,473,NULL,Canada,https://www.lcbo.com/en/side-launch-aloha-sour-20864
Lakeport Light,Lakeport,Lager,Pale Lager,40.95,8184,4.0,Canada,https://www.lcbo.com/en/lakeport-light-679589
Bench Brewing Green Fields Sour,Bench Brewing,Ale,India Pale Ale (IPA),3.5,473,NULL,Canada,https://www.lcbo.com/en/bench-brewing-green-fields-sour-15697
Creemore Springs Lot 9 Pilsner,Creemore Springs,Lager,Pale Lager,3.4,473,4.7,Canada,https://www.lcbo.com/en/creemore-springs-lot-9-pilsner-666966
Henderson x Rush Canadian Golden Ale,Henderson Brewing,Ale,Pale Ale,3.4,473,5.5,Canada,https://www.lcbo.com/en/henderson-x-rush-canadian-golden-ale-19609
Beyond The Pale Brewing Co. Yummy!,Beyond The Pale,Ale,India Pale Ale (IPA),4.0,473,5.2,Canada,https://www.lcbo.com/en/beyond-the-pale-brewing-co-yummy-576892
Calabogie Brewing Bogie,Calabogie Brewing,Ale,India Pale Ale (IPA),3.4,473,5.5,Canada,https://www.lcbo.com/en/calabogie-brewing-bogie-20041
Nickel Brook Naughty Neighbour American Pale Ale,Nickel Brook,Ale,Pale Ale,3.4,473,4.9,Canada,https://www.lcbo.com/en/nickel-brook-naughty-neighbour-american-pale-ale-398693
Kokanee,Kokanee,Lager,Pale Lager,43.95,8184,5.2,Canada,https://www.lcbo.com/en/kokanee-909523
Rodenbach Classic,Rodenbach,Ale,Sour Ale,3.35,500,5.2,Belgium,https://www.lcbo.com/en/rodenbach-classic-15152
Heritage Hops Perth County Conspiracy Pale Ale,Heritage Hops Perth County,Ale,Pale Ale,3.35,473,4.7,Canada,https://www.lcbo.com/en/heritage-hops-perth-county-conspiracy-pale-ale-20983
Magnotta Small Batch Peach Cider,Magnotta,Cider,Flavoured Cider,3.5,473,5.6,Canada,https://www.lcbo.com/en/magnotta-small-batch-peach-cider-16282
